pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipacion,preCandidatos,preParticipEscrutado,prePorcParticipEscrutado,OT_Codigo,OT_Votos,OT_PVotos
"02","104","999",24,22,9.16699982e+01,4821,9.96100006e+01,4532,9.40100021e+01,289,5.98999977e+00,18,3.70000005e-01,1,1.99999996e-02,7157,4840,6.76299973e+01,,0,,7.49599991e+01,"9997",91,2.00999999e+00
"02","105","999",373,350,9.38300018e+01,92665,9.92699966e+01,87656,9.45899963e+01,5009,5.40999985e+00,580,6.20000005e-01,104,1.09999999e-01,127868,93349,7.30000000e+01,,0,,7.79100037e+01,"9997",2787,3.18000007e+00
"02","106","999",775,767,9.89700012e+01,202123,9.88199997e+01,195179,9.65599976e+01,6944,3.44000006e+00,1758,8.60000014e-01,652,3.19999993e-01,269334,204533,7.59400024e+01,,0,,7.67399979e+01,"9997",6789,3.48000002e+00
"02","107","999",358,346,9.66500015e+01,90887,9.91200027e+01,85401,9.39599991e+01,5486,6.03999996e+00,782,8.50000024e-01,24,2.99999993e-02,123024,91693,7.45299988e+01,,0,,7.71699982e+01,"9997",3488,4.07999992e+00
"02","108","999",148,144,9.73000031e+01,35877,9.85599976e+01,33478,9.33099976e+01,2399,6.69000006e+00,491,1.35000002e+00,32,9.00000036e-02,49507,36400,7.35199966e+01,,0,,7.56699982e+01,"9997",1602,4.78999996e+00
"02","109","999",153,134,8.75800018e+01,33912,9.79199982e+01,30723,9.05999985e+01,3189,9.39999962e+00,398,1.14999998e+00,321,9.30000007e-01,52845,34631,6.55299988e+01,,0,,7.49800034e+01,"9997",1812,5.90000010e+00
"02","110","999",29,28,9.65500031e+01,6585,9.95199966e+01,6145,9.33199997e+01,440,6.67999983e+00,30,4.49999988e-01,2,2.99999993e-02,9175,6617,7.21200027e+01,,0,,7.49800034e+01,"9997",91,1.48000002e+00
"02","111","999",307,298,9.70699997e+01,76654,9.87200012e+01,73279,9.55999985e+01,3375,4.40000010e+00,947,1.22000003e+00,47,5.99999987e-02,106225,77648,7.30999985e+01,,0,,7.50999985e+01,"9997",3653,4.98999977e+00
"02","112","999",28,28,1.00000000e+02,6100,9.54199982e+01,5778,9.47200012e+01,322,5.28000021e+00,27,4.19999987e-01,266,4.15999985e+00,8315,6393,7.68899994e+01,,0,,7.68899994e+01,"9997",93,1.61000001e+00
"02","113","999",849,832,9.80000000e+01,223442,9.86200027e+01,213861,9.57099991e+01,9581,4.28999996e+00,1931,8.50000024e-01,1207,5.29999971e-01,296020,226580,7.65400009e+01,,0,,7.80299988e+01,"9997",7843,3.67000008e+00
