vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_parCodigo,ordenPartidos,votVotosPartido,votPorcenVotos,votCandidatos
"01","999","999","0580",1,918521,4.89500008e+01,0
"01","999","999","0806",13,4559,2.39999995e-01,0
"02","001","999","0008",10,7,7.00000003e-02,0
"02","001","999","0298",9,24,2.30000004e-01,0
"02","001","999","0301",6,45,4.30000007e-01,0
"02","001","999","0503",5,116,1.12000000e+00,0
"02","001","999","0511",3,1179,1.13500004e+01,0
"02","001","999","0518",1,5149,4.95600014e+01,0
"02","001","999","0546",4,717,6.90000010e+00,0
"02","001","999","0567",8,38,3.70000005e-01,0
"02","001","999","0574",2,2116,2.03700008e+01,0
"02","001","999","0810",12,0,0.00000000e+00,0
"02","001","999","0813",11,0,0.00000000e+00,0
"02","001","999","0814",7,42,4.00000006e-01,0
"02","003","999","0008",11,547,1.70000002e-01,0
"02","003","999","0268",14,73,1.99999996e-02,0
"02","003","999","0298",12,524,1.70000002e-01,0
"02","003","999","0301",9,1216,3.89999986e-01,0
"02","003","999","0503",5,13562,4.32000017e+00,0
"02","003","999","0511",3,46865,1.49300003e+01,0
"02","003","999","0518",2,80466,2.56399994e+01,0
"02","003","999","0527",13,508,1.59999996e-01,0
"02","003","999","0546",4,19328,6.15999985e+00,0
"02","003","999","0567",6,3656,1.15999997e+00,0
"02","003","999","0574",1,123810,3.94500008e+01,0
"02","003","999","0810",10,1105,3.49999994e-01,0
"02","003","999","0813",7,2518,8.00000012e-01,0
"02","003","999","0814",8,1644,5.19999981e-01,0
"02","004","999","0008",11,295,1.40000001e-01,0
"02","004","999","0268",14,3,0.00000000e+00,0
"02","004","999","0298",12,253,1.19999997e-01,0
"02","004","999","0301",9,446,2.09999993e-01,0
"02","004","999","0503",5,8563,4.01000023e+00,0
"02","004","999","0511",3,29842,1.39700003e+01,0
"02","004","999","0518",2,70055,3.27900009e+01,0
"02","004","999","0527",13,190,9.00000036e-02,0
"02","004","999","0546",4,8974,4.19999981e+00,0
"02","004","999","0567",6,2713,1.26999998e+00,0
"02","004","999","0574",1,80955,3.78899994e+01,0
"02","004","999","0810",10,414,1.89999998e-01,0
"02","004","999","0813",7,1422,6.70000017e-01,0
"02","004","999","0814",8,1033,4.79999989e-01,0
"02","007","999","0008",11,643,3.60000014e-01,0
"02","007","999","0298",12,368,2.09999993e-01,0
"02","007","999","0301",7,1159,6.60000026e-01,0
"02","007","999","0503",5,8050,4.57000017e+00,0
"02","007","999","0511",3,20150,1.14300003e+01,0
"02","007","999","0518",1,80420,4.56399994e+01,0
"02","007","999","0546",4,15322,8.69999981e+00,0
"02","007","999","0567",6,1769,1.00000000e+00,0
"02","007","999","0574",2,34631,1.96499996e+01,0
"02","007","999","0810",10,729,4.09999996e-01,0
